FID,STATE,FIPS,TRT,TRTKEY,CTTRTKEY,FENAME,COLOR,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Ar_1
518,48,029,190503,519,029190503,BEXAR,1,831,54,2122,3123,2629,93,2185,2292,737,1739,1791,69,44,1892,4661.886147100000017,1246765.750130000058562
519,48,029,190504,520,029190504,BEXAR,1,484,35,1801,2385,1940,60,1844,1901,451,1405,1446,49,20,1489,4528.561078839999936,1161762.797860000049695
520,48,029,190601,521,029190601,BEXAR,1,242,27,3326,3665,2760,94,3389,3423,208,2485,2520,48,25,2552,4626.598809860000074,1148496.970290000084788
521,48,029,190603,522,029190603,BEXAR,1,288,28,2304,2661,2103,59,2335,2373,262,1776,1805,42,21,1841,4765.305907699999807,1281763.985829999903217
522,48,029,190604,523,029190604,BEXAR,1,269,34,3791,4167,3178,84,3831,3898,230,2857,2891,59,26,2948,6054.580522469999778,1637605.401589999906719
523,48,029,190700,524,029190700,BEXAR,1,748,68,2008,2957,2465,114,2104,2209,693,1616,1682,83,56,1772,5719.191853469999842,1461242.752570000011474
524,48,029,190800,525,029190800,BEXAR,1,1565,58,470,2176,1689,51,514,611,1235,357,382,27,39,454,7156.876433729999917,1592680.917609999887645
525,48,029,190901,526,029190901,BEXAR,1,1274,167,3537,5383,4299,444,3896,4109,1155,2697,2967,314,128,3144,10453.338651500000196,4447698.863420000299811
526,48,029,190902,527,029190902,BEXAR,1,1063,74,2361,3601,2954,102,2436,2538,943,1876,1932,72,62,2011,14888.684173800000281,4640309.378549999557436
527,48,029,191003,528,029191003,BEXAR,1,1078,77,6331,7987,5829,542,6763,6909,950,4472,4766,346,57,4879,7345.756043080000381,2557464.239539999980479
528,48,029,191004,529,029191004,BEXAR,1,431,47,2965,3688,2691,266,3180,3257,383,2103,2251,171,37,2308,5938.905890680000084,1646777.905800000065938
529,48,029,191005,530,029191005,BEXAR,1,257,20,1822,2123,1654,22,1840,1866,225,1402,1409,8,14,1429,4309.356572310000047,869962.231024999986403
530,48,029,191006,531,029191006,BEXAR,1,502,40,5687,6311,4815,104,5752,5809,444,4267,4324,68,23,4371,6048.434544710000409,2220430.669100000057369
531,48,029,191101,532,029191101,BEXAR,1,935,54,740,1788,1453,37,769,853,800,557,585,32,44,653,8863.239159239999935,4040386.209340000059456
532,48,029,191102,533,029191102,BEXAR,1,894,66,1144,2190,1751,63,1195,1296,788,847,888,45,50,963,6682.791741979999642,2336795.884459999855608
533,48,029,191201,534,029191201,BEXAR,1,1254,86,1686,3143,2451,137,1776,1889,1104,1211,1267,67,56,1347,5692.463661130000219,1650157.627490000100806
534,48,029,191202,535,029191202,BEXAR,1,1632,149,2773,4982,4062,435,3128,3350,1483,2132,2396,313,110,2579,8079.899527620000299,3051102.613510000053793
535,48,029,191303,536,029191303,BEXAR,1,794,65,686,1624,1347,65,740,830,687,539,584,51,44,660,6413.522615400000177,2320662.652859999798238
536,48,029,191304,537,029191304,BEXAR,1,500,84,2096,2840,2096,177,2235,2340,443,1480,1586,117,61,1653,7170.334204230000068,2825283.724059999920428
537,48,029,191405,538,029191405,BEXAR,1,4221,386,3205,8293,6726,448,3587,4072,3614,2455,2746,318,251,3112,18526.706664900000760,8787170.992440000176430
538,48,029,191406,539,029191406,BEXAR,1,4107,323,1728,6328,5086,138,1849,2221,3459,1250,1347,106,230,1627,9885.992334790000314,4709947.593650000169873
539,48,029,191408,540,029191408,BEXAR,1,723,160,1733,3014,2377,419,2098,2291,655,1293,1573,312,121,1722,3627.899099390000174,723256.716736000031233
540,48,029,191409,541,029191409,BEXAR,1,1306,371,3842,6243,4829,772,4493,4937,1182,2813,3307,553,281,3647,5011.611869049999768,1599921.421910000033677
541,48,029,191410,542,029191410,BEXAR,1,1487,237,3245,5616,4524,719,3841,4129,1325,2486,2946,537,197,3199,5252.984653890000118,1557934.746849999995902
542,48,029,191411,543,029191411,BEXAR,1,2180,201,1770,4500,3710,316,2037,2320,1906,1368,1577,238,156,1804,6720.004982749999726,2058903.772949999896809
543,48,029,191412,544,029191412,BEXAR,1,1425,135,632,2271,1777,50,672,846,1162,457,492,41,106,615,7065.093653390000327,2036287.883970000082627
544,48,029,191413,545,029191413,BEXAR,1,3116,285,2413,6185,4977,353,2708,3069,2664,1825,2030,235,207,2313,9120.778522070000690,3676337.275129999965429
545,48,029,191503,546,029191503,BEXAR,1,2654,347,1993,5227,4329,231,2185,2573,2346,1512,1675,190,250,1983,10871.305892399999721,5620038.918840000405908
546,48,029,191504,547,029191504,BEXAR,1,1700,202,742,2708,2207,54,786,1008,1469,554,580,30,136,738,10456.433334299999842,5133962.328689999878407
547,48,029,191505,548,029191505,BEXAR,1,1204,107,736,2107,1761,47,770,903,1075,560,583,34,76,686,6767.338694930000202,2424078.402850000187755
548,48,029,191506,549,029191506,BEXAR,1,2638,432,2433,5889,4731,398,2753,3251,2327,1797,2044,273,299,2404,9864.314018360000773,3763883.906270000152290
549,48,029,191701,550,029191701,BEXAR,1,1106,60,326,1533,1268,20,344,427,933,261,273,12,40,335,11407.410312100000738,6175261.994199999608099
550,48,029,191702,551,029191702,BEXAR,1,4395,229,2192,7276,5664,339,2490,2881,3636,1547,1743,217,159,2028,15794.864278400000330,8085066.242379999719560
551,48,029,191804,552,029191804,BEXAR,1,6657,431,3734,11588,8598,589,4251,4931,5190,2550,2912,399,296,3408,32124.302446099998633,29837828.429699998348951
552,48,029,191806,553,029191806,BEXAR,1,4871,1280,2880,9540,6858,488,3286,4669,3706,1927,2227,335,823,3152,14678.194142799999099,10480765.505000000819564
553,48,029,191807,554,029191807,BEXAR,1,4723,1145,4939,11668,9597,849,5675,6945,4147,3873,4467,659,866,5450,34879.803749200000311,27736140.720899999141693
554,48,029,191808,555,029191808,BEXAR,1,2532,824,1962,5933,4252,614,2507,3401,1895,1335,1720,432,564,2357,10779.439612699999998,6519821.872879999689758
555,48,029,191809,556,029191809,BEXAR,1,4360,855,2994,8902,6398,627,3545,4542,3320,2003,2385,417,536,3078,16102.947343699999692,7718519.411670000292361
556,48,029,191810,557,029191810,BEXAR,1,2620,632,2355,6170,4422,552,2809,3550,1983,1598,1912,367,433,2439,8999.103078509999250,4296200.902280000038445
557,48,029,191811,558,029191811,BEXAR,1,2769,651,1944,5765,3894,367,2263,2996,1963,1224,1442,229,425,1931,11430.764058400000067,6073514.283169999718666
558,48,029,191812,559,029191812,BEXAR,1,2035,557,1470,4304,3060,261,1688,2269,1495,1000,1161,176,363,1565,8234.858643960000336,3630911.351230000145733
559,48,029,191813,560,029191813,BEXAR,1,3452,633,2748,7271,5360,431,3092,3819,2683,1921,2152,271,428,2677,7935.333067999999912,2817843.705279999878258
560,48,029,191814,561,029191814,BEXAR,1,2885,333,2540,6143,4269,318,2819,3258,2090,1666,1854,205,224,2179,12553.916681799999424,9012954.499590000137687
561,48,029,191815,562,029191815,BEXAR,1,2045,654,2217,5248,3849,353,2513,3203,1588,1571,1778,226,431,2261,7062.120202899999640,2540306.223000000230968
562,48,029,191816,563,029191816,BEXAR,1,1718,215,1046,3184,2653,157,1187,1466,1558,778,885,119,161,1095,6888.634972890000427,2903351.322029999922961
563,48,029,191818,564,029191818,BEXAR,1,2042,416,1944,4781,3940,391,2275,2739,1830,1487,1767,325,289,2110,10990.097483800000191,6662115.371360000222921
564,48,029,191819,565,029191819,BEXAR,1,3675,1050,3490,8972,6658,743,4143,5297,2931,2440,2894,493,735,3727,12090.125014999999621,6192124.657630000263453
565,48,029,191900,566,029191900,BEXAR,1,804,111,3014,4528,3680,624,3561,3724,743,2335,2794,499,97,2937,7114.339612140000099,3330183.238530000206083
566,48,029,192000,567,029192000,BEXAR,1,2159,169,2462,5233,4576,424,2825,3074,1981,2047,2384,381,147,2595,13371.859905499999513,5072700.683980000205338
567,48,029,192100,568,029192100,BEXAR,1,1151,90,1361,2724,2345,121,1455,1573,1070,1103,1177,85,75,1275,9251.985588010000356,2962186.071039999835193
568,48,029,192200,569,029192200,BEXAR,1,572,155,2247,3186,2489,224,2440,2614,503,1669,1828,172,127,1986,19896.779281200000696,14913673.236300000920892
569,48,029,192300,570,029192300,BEXAR,1,2550,219,1923,5055,4313,324,2196,2505,2303,1549,1758,245,177,2010,12458.207744699999239,6174928.730209999717772
570,48,029,980001,571,029980001,BEXAR,1,0,2,2,3,2,2,3,3,0,2,2,1,1,2,55326.568538200001058,126151557.402999997138977
571,48,029,980002,572,029980002,BEXAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5516.454342580000230,1552752.600210000062361
572,48,029,980003,573,029980003,BEXAR,1,460,69,197,889,642,166,331,429,343,120,216,113,54,299,16565.128030200001376,16097256.899499999359250
573,48,029,980004,574,029980004,BEXAR,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,15197.951743300000089,9755370.521689999848604
574,48,029,980005,575,029980005,BEXAR,1,23,6,32,65,44,6,34,42,15,23,23,3,4,29,46355.138905899999372,39520286.216099999845028
575,48,029,980100,576,029980100,BEXAR,1,214,32,700,1083,759,135,818,869,181,444,542,105,26,578,22435.725598500001070,14678551.586999999359250
576,48,031,950101,577,031950101,BLANCO,4,2038,33,454,2627,2137,25,470,589,1699,333,346,18,29,438,79612.639632499995059,267881962.967999994754791
577,48,031,950102,578,031950102,BLANCO,4,2000,14,276,2396,2104,17,290,396,1793,207,218,14,10,311,154921.161431999993511,1020181361.309999942779541
578,48,031,950201,579,031950201,BLANCO,4,2715,24,738,3631,2952,50,783,916,2310,522,556,38,13,642,76648.064278200006811,282005795.050999999046326
579,48,031,950202,580,031950202,BLANCO,4,1954,29,624,2720,2228,31,653,766,1659,452,478,28,20,569,106632.327109000005294,270318226.981999993324280
580,48,033,950100,581,033950100,BORDEN,3,528,14,86,631,471,16,95,103,414,53,56,6,5,57,193560.113821000006283,2338400256.320000171661377
581,48,035,950100,582,035950100,BOSQUE,1,3164,15,849,4197,3274,41,874,1033,2599,538,553,21,6,675,175777.679084000003058,1065166467.210000038146973
582,48,035,950200,583,035950200,BOSQUE,1,881,26,390,1421,1067,108,479,540,698,257,327,75,23,369,20617.987332199998491,9309539.326940000057220
583,48,035,950300,584,035950300,BOSQUE,1,1505,8,151,1792,1501,34,183,287,1314,96,106,10,3,187,125420.592350999999326,367665929.018999993801117
584,48,035,950400,585,035950400,BOSQUE,1,3060,37,423,3733,3022,48,464,673,2587,254,285,31,22,435,209227.048688000009861,795496656.215000033378601
585,48,035,950500,586,035950500,BOSQUE,1,1801,34,937,3004,2313,161,1074,1203,1526,621,706,96,17,787,10098.662668599999961,5063866.222910000011325
586,48,035,950600,587,035950600,BOSQUE,1,1461,10,99,1694,1477,32,127,233,1303,72,88,20,6,174,39574.185054100002162,60120163.497800000011921
587,48,035,950700,588,035950700,BOSQUE,1,1749,18,472,2394,1802,79,536,645,1365,310,357,52,11,437,102228.568603000006988,283106699.236000001430511
588,48,037,010100,589,037010100,BOWIE,1,2222,43,518,4945,3635,2055,2537,2723,1845,300,1640,1349,36,1790,10161.614381100000173,4430474.706779999658465
589,48,037,010400,590,037010400,BOWIE,1,934,12,278,3883,2754,2572,2833,2949,762,171,1903,1739,8,1992,15470.083270700000867,13953792.075799999758601
590,48,037,010500,591,037010500,BOWIE,1,689,20,294,2911,2250,1897,2166,2222,627,213,1576,1376,15,1623,9680.176511809999283,3595979.556720000226051
591,48,037,010600,592,037010600,BOWIE,1,214,3,325,2049,1398,1494,1800,1835,171,209,1192,990,3,1227,5413.916529899999659,1677845.524660000111908
592,48,037,010700,593,037010700,BOWIE,1,1985,112,494,4644,3515,1972,2441,2659,1660,314,1708,1410,73,1855,11286.332241800000702,6463993.220839999616146
593,48,037,010800,594,037010800,BOWIE,1,1357,74,464,4500,3283,2516,2961,3143,1160,289,1976,1695,53,2123,12455.946307000000161,7129003.722310000099242
594,48,037,010903,595,037010903,BOWIE,1,2280,95,194,3231,2545,569,744,951,1863,149,521,382,71,682,17183.462885500000993,9239837.688869999721646
595,48,037,010904,596,037010904,BOWIE,1,3256,174,229,4307,3405,493,704,1051,2662,171,501,337,124,743,13779.734182800000781,7933357.555089999921620
596,48,037,010905,597,037010905,BOWIE,1,1300,50,490,3037,2219,1110,1581,1737,1055,296,1059,768,23,1164,15630.024823499999911,9696225.787960000336170
597,48,037,010906,598,037010906,BOWIE,1,3663,317,267,5144,4031,710,971,1481,2965,183,669,490,239,1066,18256.035045100001298,16465153.621099999174476
598,48,037,011001,599,037011001,BOWIE,1,1842,38,338,3145,2340,818,1144,1303,1459,205,763,565,31,881,18097.609448100000009,13141646.104399999603629
599,48,037,011002,600,037011002,BOWIE,1,2776,61,312,4639,3493,1329,1626,1863,2214,192,1116,925,50,1279,10700.564506400000027,4565190.272520000115037
600,48,037,011101,601,037011101,BOWIE,1,2108,29,328,3616,2775,1053,1365,1508,1684,194,983,792,17,1091,30897.680334100001346,28230198.891699999570847
601,48,037,011102,602,037011102,BOWIE,1,1693,18,328,3130,2668,1013,1326,1437,1474,284,1105,830,14,1194,31521.884038699998200,31522303.202899999916553
602,48,037,011201,603,037011201,BOWIE,1,3126,155,122,3832,2897,323,432,706,2389,82,316,242,95,508,83960.274646299993037,134023724.446999996900558
603,48,037,011202,604,037011202,BOWIE,1,2206,24,126,2557,1960,113,237,351,1707,77,162,85,15,253,33917.282019300000684,31439838.757300000637770
604,48,037,011301,605,037011301,BOWIE,1,2087,33,267,2967,2214,496,751,880,1632,168,479,318,21,582,22049.807384100000490,8472401.834240000694990
605,48,037,011302,606,037011302,BOWIE,1,1672,12,83,2220,1738,372,453,548,1296,51,370,320,6,442,118371.136748000004445,307697729.323000013828278
606,48,037,011402,607,037011402,BOWIE,1,1867,11,70,2118,1610,112,179,251,1426,49,126,78,7,184,99024.255867800005944,219327434.379000008106232
607,48,037,011403,608,037011403,BOWIE,1,2621,23,216,3475,2725,474,688,854,2140,141,452,312,22,585,70197.295972099993378,69709823.290800005197525
608,48,037,011404,609,037011404,BOWIE,1,3867,33,143,4525,3486,320,457,658,2994,99,349,254,15,492,78336.908937900007004,156986248.754000008106232
609,48,037,011501,610,037011501,BOWIE,1,4656,73,1144,7870,6711,1707,2830,3214,3838,1058,2575,1528,53,2873,67863.924957199997152,164562397.145999997854233
610,48,037,011502,611,037011502,BOWIE,1,1612,47,171,2789,2094,856,1015,1177,1276,114,691,582,37,818,69782.138724699994782,93946171.385700002312660
611,48,037,011601,612,037011601,BOWIE,1,1800,25,234,2629,1988,519,750,829,1420,140,510,372,16,568,60678.798004900003434,134173909.062999993562698
612,48,037,011602,613,037011602,BOWIE,1,1929,21,69,2387,1901,264,332,458,1547,50,253,204,17,354,200623.962739000009606,475078185.470000028610229
613,48,037,011700,614,037011700,BOWIE,1,2093,3,98,2343,1902,31,128,250,1717,64,82,18,2,185,131468.282375000009779,430434786.115999996662140
614,48,039,660100,615,039660100,BRAZORIA,4,2881,292,947,4445,3556,243,1173,1564,2401,670,838,176,225,1155,11434.917461600000024,4229252.892029999755323
615,48,039,660200,616,039660200,BRAZORIA,4,3350,500,1482,5897,4432,490,1937,2547,2627,1007,1343,351,371,1805,20002.325607399998262,18054038.161299999803305
616,48,039,660301,617,039660301,BRAZORIA,4,1879,289,1010,3901,2916,665,1629,2022,1528,676,1095,440,200,1388,7838.377237949999653,3158795.457620000001043
617,48,039,660302,618,039660302,BRAZORIA,4,1819,116,624,2844,2122,240,847,1025,1390,437,612,179,78,732,8252.655795110000327,2957159.676390000153333
618,48,039,660303,619,039660303,BRAZORIA,4,2489,267,937,4243,3067,444,1359,1754,1857,613,941,337,178,1210,10544.934230200000457,3833055.839480000082403
619,48,039,660401,620,039660401,BRAZORIA,4,1125,333,1052,2853,2057,312,1349,1728,912,692,888,201,219,1145,11675.108828500000527,4501476.220420000143349
620,48,039,660402,621,039660402,BRAZORIA,4,1956,742,1299,4531,3132,499,1780,2575,1416,846,1183,348,494,1716,6860.898758850000377,2656636.516210000030696
621,48,039,660403,622,039660403,BRAZORIA,4,1849,420,1049,3883,2899,517,1525,2034,1472,702,1049,361,315,1427,12584.925425299999915,3720689.859159999992698
622,48,039,660501,623,039660501,BRAZORIA,4,817,622,712,2978,2201,845,1525,2161,638,492,1093,621,448,1563,13172.279007700000875,6897504.538379999808967
623,48,039,660502,624,039660502,BRAZORIA,4,1211,198,2467,4294,2948,384,2818,3083,929,1586,1822,247,130,2019,9882.705155330000707,5535505.040729999542236
624,48,039,660503,625,039660503,BRAZORIA,4,1307,64,1186,2764,2155,172,1338,1457,1126,827,938,118,50,1029,12490.935791399999289,6727020.950299999676645
625,48,039,660504,626,039660504,BRAZORIA,4,613,37,760,1548,1182,123,866,935,504,534,620,88,30,678,12298.211651400000846,5331303.131500000134110
626,48,039,660603,627,039660603,BRAZORIA,4,612,306,493,3279,2584,1916,2332,2667,558,342,1757,1451,240,2026,9556.547951610000382,2966830.416259999852628
627,48,039,660604,628,039660604,BRAZORIA,4,858,1483,651,4179,2785,1207,1806,3321,604,383,1155,810,986,2181,5513.096092120000321,1746040.545979999937117
628,48,039,660605,629,039660605,BRAZORIA,4,1306,1917,1038,6132,4180,1887,2844,4826,934,641,1862,1259,1342,3246,8437.480279650000739,2547834.037020000163466
629,48,039,660606,630,039660606,BRAZORIA,4,1077,964,385,3208,2276,765,1121,2131,809,236,786,554,639,1467,5924.710748039999999,1915737.946620000060648
630,48,039,660607,631,039660607,BRAZORIA,4,974,1211,952,5677,4123,2624,3474,4703,750,677,2502,1881,840,3373,9093.333754760000375,2554534.000800000037998
631,48,039,660608,632,039660608,BRAZORIA,4,1503,433,307,2666,2291,387,689,1163,1376,236,548,315,322,915,10236.512811599999623,3369898.115360000170767
632,48,039,660609,633,039660609,BRAZORIA,4,1416,681,1093,4374,3314,1174,2210,2958,1138,721,1582,884,543,2176,8681.147508300000482,2526637.294240000192076
633,48,039,660610,634,039660610,BRAZORIA,4,1423,1688,1044,5476,3966,1373,2350,4053,1080,690,1649,989,1199,2886,10138.444380099999762,5292475.205140000209212
634,48,039,660611,635,039660611,BRAZORIA,4,1117,1973,963,5633,3792,1608,2506,4516,808,613,1610,1026,1342,2984,9471.805041280000296,3715084.677980000153184
635,48,039,660612,636,039660612,BRAZORIA,4,925,944,583,3523,2502,1076,1642,2598,687,393,1172,788,635,1815,8755.403992159999689,3403164.385689999908209
636,48,039,660613,637,039660613,BRAZORIA,4,571,418,1768,4347,3013,1576,3317,3776,449,1179,2217,1051,321,2564,11026.006184399999256,7094035.815519999712706
637,48,039,660614,638,039660614,BRAZORIA,4,1078,647,2000,6880,4767,3190,5093,5802,806,1301,3449,2179,452,3961,8867.843705830000545,4416272.147289999760687
638,48,039,660615,639,039660615,BRAZORIA,4,905,647,1613,5457,3662,2364,3863,4552,690,1023,2503,1532,438,2972,19990.022425499999372,12407490.131999999284744
639,48,039,660616,640,039660616,BRAZORIA,4,1362,1126,1043,5234,3777,1702,2694,3872,1024,703,1891,1221,810,2753,10647.465050299999348,5128458.117250000126660
640,48,039,660703,641,039660703,BRAZORIA,4,1596,1401,676,5030,3527,1331,1959,3434,1162,433,1375,964,941,2365,7446.522853260000375,3249882.252960000187159
641,48,039,660704,642,039660704,BRAZORIA,4,2077,1290,811,5248,3799,1048,1831,3171,1547,549,1317,786,886,2252,7656.573898980000195,3748911.627319999970496
642,48,039,660705,643,039660705,BRAZORIA,4,1710,516,1606,5890,4181,2059,3561,4180,1345,1046,2392,1396,376,2836,7542.143533999999818,3346714.144450000021607
643,48,039,660706,644,039660706,BRAZORIA,4,1779,1163,772,4955,3349,1232,1949,3176,1227,485,1319,867,756,2122,6832.628574160000426,2794368.294850000180304
644,48,039,660707,645,039660707,BRAZORIA,4,1779,657,1247,4457,3184,734,1955,2678,1294,832,1359,538,467,1890,9656.938312289999885,4156222.667299999855459
645,48,039,660708,646,039660708,BRAZORIA,4,3203,689,1921,7364,5468,1492,3359,4161,2586,1279,2285,1029,494,2882,23244.922951299999113,29991441.584899999201298
646,48,039,660803,647,039660803,BRAZORIA,4,1602,409,1249,4028,3030,742,1964,2426,1267,849,1401,564,313,1763,8633.715523329999996,4151964.689249999821186
647,48,039,660804,648,039660804,BRAZORIA,4,1913,205,1594,4314,3135,544,2116,2401,1510,1061,1408,359,130,1625,7340.864561559999856,2695006.736579999793321
648,48,039,660805,649,039660805,BRAZORIA,4,2424,302,1506,5125,3632,810,2287,2701,1826,988,1525,553,203,1806,10130.649629800000184,5069314.566019999794662
649,48,039,660806,650,039660806,BRAZORIA,4,1242,166,1143,3009,2061,422,1528,1767,913,722,986,272,100,1148,8240.913850189999721,2491898.455930000171065
650,48,039,660901,651,039660901,BRAZORIA,4,564,28,1549,2200,1581,31,1574,1636,462,1053,1076,24,15,1119,23880.727709999999206,20604880.543099999427795
651,48,039,660902,652,039660902,BRAZORIA,4,2437,364,3336,6689,4608,467,3767,4252,1851,2105,2407,316,265,2757,23617.238953500000207,24284487.559099998325109
652,48,039,661000,653,039661000,BRAZORIA,4,4358,181,3474,8562,6410,338,3768,4204,3540,2327,2530,222,111,2870,34703.006278200002271,42559800.782099999487400
653,48,039,661100,654,039661100,BRAZORIA,4,1816,40,1546,3705,2607,236,1765,1889,1378,987,1127,145,34,1229,19517.766143699998793,14051438.688100000843406
654,48,039,661200,655,039661200,BRAZORIA,4,2302,114,1528,4310,3282,303,1796,2008,1885,1038,1236,224,77,1397,10760.328964099999212,3562354.852640000171959
655,48,039,661300,656,039661300,BRAZORIA,4,1166,48,1132,2495,1861,133,1238,1329,938,783,855,80,26,923,8433.378859149999698,3387618.354580000042915
656,48,039,661400,657,039661400,BRAZORIA,4,4168,115,2414,7187,5357,326,2699,3019,3367,1584,1761,188,68,1990,10424.890551099999357,6987166.367159999907017
657,48,039,661501,658,039661501,BRAZORIA,4,2592,50,1984,4912,3716,168,2135,2320,2122,1337,1445,113,40,1594,40370.760690800001612,38813449.137400001287460
658,48,039,661502,659,039661502,BRAZORIA,4,2780,72,1621,4825,3633,176,1778,2045,2238,1086,1184,104,60,1395,49899.255538099998375,63187404.993400000035763
659,48,039,661601,660,039661601,BRAZORIA,4,3677,90,2058,6155,4862,215,2254,2478,3102,1424,1569,157,63,1760,19607.521891000000323,23578160.245400000363588
660,48,039,661602,661,039661602,BRAZORIA,4,1629,40,1629,3428,2599,95,1701,1799,1345,1130,1177,58,29,1254,31324.611620700001367,33271650.020899999886751
661,48,039,661700,662,039661700,BRAZORIA,4,1981,36,820,3022,2285,90,897,1041,1600,522,565,51,26,685,127989.885695000004489,507068171.486999988555908
662,48,039,661800,663,039661800,BRAZORIA,4,3535,837,2925,8721,6422,1281,4158,5186,2798,1964,2822,877,628,3624,71345.562021000005188,161148431.706999987363815
663,48,039,661901,664,039661901,BRAZORIA,4,3075,83,2742,8024,7059,2060,4775,4949,2787,2249,4141,1910,61,4272,59234.335276700003305,160398995.314999997615814
664,48,039,661902,665,039661902,BRAZORIA,4,2199,419,3784,10188,7477,3823,7474,7989,1780,2585,5297,2770,302,5697,64041.200564799997665,146646529.377000004053116
665,48,039,662000,666,039662000,BRAZORIA,4,4349,44,1471,6637,5073,587,2032,2288,3487,963,1401,438,31,1586,114911.810232000003452,404976778.702000021934509
666,48,039,662100,667,039662100,BRAZORIA,4,3109,81,2285,6575,4914,1022,3243,3466,2496,1532,2256,753,53,2418,59218.028358800002025,145081037.067000001668930
667,48,039,662200,668,039662200,BRAZORIA,4,3776,124,1881,6807,5279,934,2734,3031,3041,1330,2008,699,103,2238,43131.752221800001280,94002239.090299993753433
668,48,039,662300,669,039662300,BRAZORIA,4,2474,62,1546,4688,3385,547,2020,2214,1969,970,1256,305,48,1416,8408.201993000000584,3438688.537729999981821
669,48,039,662400,670,039662400,BRAZORIA,4,3518,81,1579,5686,4154,412,1933,2168,2692,1037,1277,258,47,1462,58885.407399299998360,94287716.627499997615814
670,48,039,662500,671,039662500,BRAZORIA,4,1920,26,868,3149,2442,262,1103,1229,1536,635,808,181,24,906,49983.940585399999691,97431995.054800003767014
671,48,039,662600,672,039662600,BRAZORIA,4,2170,41,612,3207,2474,336,920,1037,1742,418,630,221,31,732,34538.296297499997308,32051764.573600001633167
672,48,039,662700,673,039662700,BRAZORIA,4,1739,32,477,2502,1970,194,668,763,1394,360,502,143,26,576,95530.534436300004018,213965839.111999988555908
673,48,039,662800,674,039662800,BRAZORIA,4,4224,62,1110,6512,4867,992,2054,2288,3253,742,1429,706,47,1614,63176.018535499999416,134873722.111999988555908
674,48,039,662900,675,039662900,BRAZORIA,4,3000,57,1179,4757,3659,422,1577,1757,2438,772,1074,309,33,1221,45067.386459000001196,57256165.161700002849102
675,48,039,663000,676,039663000,BRAZORIA,4,2325,28,898,4083,3417,780,1659,1758,1931,721,1415,701,22,1486,42887.220269700002973,61851410.912299998104572
676,48,039,663100,677,039663100,BRAZORIA,4,4110,236,1994,7184,5777,686,2645,3074,3409,1465,2034,589,165,2368,49825.252628200003528,101318801.702000007033348
677,48,039,663200,678,039663200,BRAZORIA,4,2975,142,1472,5049,3761,365,1785,2074,2406,949,1154,220,99,1355,10021.704984199999672,4368162.346350000239909
678,48,039,663300,679,039663300,BRAZORIA,4,1115,42,931,2283,1697,164,1059,1168,895,633,719,107,35,802,7693.284323769999901,2480826.154349999967963
679,48,039,663400,680,039663400,BRAZORIA,4,4275,521,2414,8101,6245,788,3102,3826,3563,1615,2108,534,401,2682,15850.367984300000899,11537726.767400000244379
680,48,039,663500,681,039663500,BRAZORIA,4,3049,139,1879,5611,4164,423,2253,2562,2441,1226,1500,281,94,1723,8799.676997849999680,3630893.050910000223666
681,48,039,663600,682,039663600,BRAZORIA,4,3768,144,1139,5408,4184,242,1346,1640,3067,748,898,164,93,1117,12635.854950000000827,5854633.787770000286400
682,48,039,663700,683,039663700,BRAZORIA,4,1899,127,1517,3941,2929,382,1849,2042,1545,989,1235,264,83,1384,13673.562835799999448,3742111.597310000099242
683,48,039,663800,684,039663800,BRAZORIA,4,2264,98,3075,6273,4392,756,3761,4009,1776,1992,2439,474,69,2616,10821.813432700000703,5700409.940879999659956
684,48,039,663900,685,039663900,BRAZORIA,4,471,13,1342,2013,1524,186,1506,1542,412,964,1087,135,12,1112,10168.814358300000094,3274506.908220000099391
685,48,039,664000,686,039664000,BRAZORIA,4,1232,30,1614,3277,2503,366,1962,2045,1023,1144,1412,271,16,1480,29274.896937199999229,34644788.454000003635883
686,48,039,664100,687,039664100,BRAZORIA,4,2740,85,2873,6083,4571,325,3149,3343,2293,1952,2128,185,58,2278,101267.596785000001546,203966949.652000010013580
687,48,039,664200,688,039664200,BRAZORIA,4,1537,30,501,2222,1823,77,569,685,1337,348,392,48,20,486,128702.109836999996332,226616108.745000004768372
688,48,039,664300,689,039664300,BRAZORIA,4,973,26,3300,5059,3621,802,3983,4086,783,2274,2755,521,21,2838,13575.525420500000109,8866952.395899999886751
689,48,039,664400,690,039664400,BRAZORIA,4,1414,61,3510,5610,4093,637,4063,4196,1163,2432,2836,437,30,2930,53808.999353599996539,87515424.595699995756149
690,48,039,664501,691,039664501,BRAZORIA,4,3380,32,1210,5225,4158,492,1676,1845,2807,823,1218,414,18,1351,113743.713254999995115,362821063.564000010490417
691,48,039,990000,692,039990000,BRAZORIA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114822.562795000005281,310369622.806999981403351
692,48,041,000103,693,041000103,BRAZOS,1,1458,15,320,1953,1530,62,374,495,1193,202,242,44,12,337,71082.669618700005230,238896384.050999999046326
693,48,041,000104,694,041000104,BRAZOS,1,2316,25,1551,4532,3299,540,2066,2216,1881,954,1315,371,14,1418,56628.918618399999104,150765358.972999989986420
